student_id,english_grade,maths_grade,attendance_pct,enrolled_level3,completed_course
STU001,3,3,71.4,0,1
STU002,3,4,60.8,0,1
STU003,4,3,82.4,0,1
STU004,3,4,74.0,0,1
STU005,4,4,75.7,1,1
STU006,3,3,91.7,0,1
STU007,4,4,93.1,1,1
STU008,3,4,100,0,1
STU009,4,4,71.6,1,1
STU010,3,4,76.5,0,1
STU011,4,4,82.7,1,1
STU012,3,3,62.6,0,1
STU013,4,3,90.5,0,1
STU014,4,4,48.3,1,1
STU015,4,3,60.8,0,1
STU016,3,4,51.5,0,1
STU017,4,3,79.6,0,0
STU018,4,3,84.5,0,1
STU019,3,3,83.8,0,1
STU020,3,3,47.6,0,0
STU021,4,4,76.1,1,0
STU022,4,3,89.2,0,1
STU023,3,4,47.9,0,1
STU024,4,4,66.0,1,1
STU025,3,4,46.8,0,0
STU026,3,3,73.0,0,0
STU027,4,4,85.6,1,0
STU028,4,4,77.7,1,0
STU029,3,3,64.3,0,1
STU030,4,3,55.1,0,1
STU031,3,4,96.0,0,1
STU032,4,3,72.5,0,1
STU033,3,4,81.7,0,1
STU034,4,3,57.0,0,1
STU035,4,3,57.9,0,1
STU036,4,4,61.9,1,1
STU037,3,4,78.0,0,1
STU038,3,4,69.9,0,1
STU039,3,4,80.5,0,1
STU040,4,4,69.0,1,0
STU041,4,3,68.5,0,1
STU042,4,4,57.3,1,0
STU043,4,3,72.1,0,1
STU044,4,3,77.5,0,1
STU045,3,3,70.6,0,1
STU046,3,4,67.0,0,1
STU047,3,4,66.9,0,1
STU048,4,4,62.9,1,1
STU049,4,4,74.5,1,1
STU050,4,4,78.3,1,1
STU051,3,3,94.5,0,1
STU052,3,3,81.0,0,1
STU053,4,4,78.1,1,1
STU054,3,4,79.4,0,1
STU055,4,3,100,0,1
STU056,3,3,89.8,0,1
STU057,4,4,75.4,1,1
STU058,4,3,86.8,0,0
STU059,4,4,66.9,1,1
STU060,4,4,94.6,1,1
STU061,4,3,91.4,0,1
STU062,4,3,68.1,0,1
STU063,4,4,88.1,1,1
STU064,4,3,63.0,0,0
STU065,3,4,99.2,0,1
STU066,4,3,84.4,0,1
STU067,3,4,91.1,0,1
STU068,4,4,82.8,1,1
STU069,4,3,71.2,0,1
STU070,4,4,79.9,1,0
STU071,3,3,20,0,0
STU072,3,4,86.0,0,1
STU073,4,3,100,0,1
STU074,4,4,59.4,1,1
STU075,4,4,38.2,1,1
STU076,3,4,43.4,0,1
STU077,3,3,69.1,0,0
STU078,3,4,100,0,1
STU079,3,4,78.1,0,1
STU080,4,4,92.4,1,1
STU081,3,3,53.3,0,1
STU082,4,3,50.9,0,1
STU083,4,3,71.0,0,1
STU084,3,3,53.0,0,1
STU085,3,4,86.0,0,1
STU086,4,3,75.2,0,1
STU087,4,3,80.3,0,1
STU088,3,4,65.9,0,0
STU089,4,4,71.9,1,1
STU090,3,3,37.8,0,0
STU091,3,3,70.9,0,0
STU092,3,4,58.6,0,1
STU093,3,4,92.6,0,1
STU094,4,4,50.7,1,1
STU095,3,3,81.7,0,1
STU096,3,4,73.5,0,1
STU097,4,4,59.6,1,1
STU098,3,3,45.9,0,0
STU099,4,3,34.4,0,1
STU100,4,4,51.1,1,1
